year,Top decile as % median - Gross individual earnings
1991,160.9
1992,158.9
1993,159.0
1994,159.5
1995,164.9
1996,164.4
1998,169.6
2000,172.5
2002,173.3
2004,176.3
2006,179.5
2008,182.3
2010,183.5
2012,184.5
2014,178.2
2016,178.4
2018,182.5
2020,184.8
